symbol,name,price,marketCap,volume,industry
RES,RPC Inc. Common Stock,5.16,1143651745.0,1525244,Energy
SBR,Sabine Royalty Trust Common Stock,73.12,1066041706.0,55362,Energy
TTI,Tetra Technologies Inc. Common Stock,7.24,980223499.0,3637159,Energy
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,21.99,839013739.0,32519,Energy
HPK,HighPeak Energy Inc. Common Stock,6.425,811850818.0,397561,Energy
INR,Infinity Natural Resources Inc. Class A Common Stock,12.47,792242007.0,469621,Energy
SOC,Sable Offshore Corp. Common Stock,4.14,756746953.0,5445226,Energy
REPX,Riley Exploration Permian Inc. Common Stock,32.98,715532332.0,289796,Energy
TXO,TXO Partners L.P. Common Units Representing Limited Partner Interests,12.77,705446814.0,107265,Energy
ACDC,ProFrac Holding Corp. Class A Common Stock,3.71,671215994.0,1961212,Energy
METC,Ramaco Resources Inc. Class A Common Stock,9.75,648021485.0,1788836,Energy
VTS,Vitesse Energy Inc. Common Stock,15.0,625686360.0,443947,Energy
GRNT,Granite Ridge Resources Inc. Common Stock,4.56,601445714.0,656115,Energy
EGY,VAALCO Energy Inc.  Common Stock,5.05,526504178.0,1313055,Energy
SD,SandRidge Energy Inc. Common Stock,13.15,485475106.0,243049,Energy
FIP,FTAI Infrastructure Inc. Common Stock ,4.08,482107304.0,1007098,Energy
WTI,W&T Offshore Inc. Common Stock,3.18,473113080.0,3775776,Energy
METCB,Ramaco Resources Inc. Class B Common Stock,6.78,450624171.0,72674,Energy
NGS,Natural Gas Services Group Inc. Common Stock,35.76,450517532.0,172433,Energy
NUAI,New Era Energy & Digital Inc. Common Stock,4.395,445173629.0,5400960,Energy
NC,NACCO Industries Inc. Common Stock,47.57,358706818.0,7628,Energy
RNGR,Ranger Energy Services Inc. Class A Common Stock,14.53,345256382.0,454248,Energy
NPWR,NET Power Inc. Class A Common Stock,1.43,321409204.0,788341,Energy
PNRG,PrimeEnergy Resources Corporation Common Stock,180.65,292291700.0,63036,Energy
APC,ARKO Petroleum Corp. Class A Common Stock,20.2,253918505.0,169092,Energy
REI,Ring Energy Inc. Common Stock,1.13,236632373.0,2431066,Energy
EAF,GrafTech International Ltd. Common Stock,7.68,200387820.0,377949,Energy
NUAIW,New Era Energy & Digital Inc. Warrants,1.95,197517310.0,15673,Energy
ANNA,AleAnna Inc. Class A Common Stock,2.84,190093696.0,179219,Energy
AREC,American Resources Corporation Class A Common Stock,1.72,183990588.0,1597995,Energy
KGEI,Kolibri Global Energy Inc. Common stock,4.86,173789702.0,130983,Energy
EPSN,Epsilon Energy Ltd. Common Share,5.45,164854963.0,97932,Energy
AMPY,Amplify Energy Corp. Common Stock,3.67,151524894.0,746721,Energy
PED,Pedevco Corp. Common Stock,11.15,148310643.0,76057,Energy
DWSN,Dawson Geophysical Company Common Stock,4.4,136632496.0,386628,Energy
EPM,Evolution Petroleum Corporation Inc. Common Stock,3.65,130935446.0,389162,Energy
TUSK,Mammoth Energy Services Inc. Common Stock,2.6,125243682.0,197685,Energy
NCSM,NCS Multistage Holdings Inc. Common Stock,44.76,117473649.0,5606,Energy
SJT,San Juan Basin Royalty Trust Common Stock,2.51,116988078.0,111196,Energy
