symbol,name,price,marketCap,volume,industry
AROC,Archrock Inc. Common Stock,35.12,6155187252.0,1787151,Utilities
ORA,Ormat Technologies Inc. Common Stock,98.02,6023500731.0,873156,Utilities
NJR,NewJersey Resources Corporation Common Stock,58.08,5861524960.0,746178,Utilities
CWST,Casella Waste Systems Inc. Class A Common Stock,91.99,5851478473.0,586769,Utilities
POR,Portland General Electric Co Common Stock,50.15,5803860052.0,1372066,Utilities
BKH,Black Hills Corporation Common Stock,71.23,5422605845.0,885098,Utilities
KGS,Kodiak Gas Services Inc. Common Stock,58.06,5152432805.0,1641649,Utilities
OGS,ONE Gas Inc. Common Stock,78.4,4920582587.0,565073,Utilities
SR,Spire Inc. Common Stock,80.09,4734663871.0,394526,Utilities
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,21.075,4506485079.0,1252,Utilities
EE,Excelerate Energy Inc. Class A Common Stock,39.03,4443925279.0,294889,Utilities
AQN,Algonquin Power & Utilities Corp. Common Shares,5.74,4416687244.0,2774222,Utilities
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,20.0,4264751040.0,6907,Utilities
NWE,NorthWestern Energy Group Inc. Common Stock,68.9,4238579865.0,312170,Utilities
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,20.25,4213783397.0,18913,Utilities
CWEN,Clearway Energy Inc. Class C Common Stock,32.06,3879260000.0,1096503,Utilities
OTTR,Otter Tail Corporation Common Stock,90.16,3785290964.0,500675,Utilities
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,25.7,3725789601.0,420640,Utilities
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,16.72,3479232514.0,52276,Utilities
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,16.5199,3437594091.0,31427,Utilities
AWR,American States Water Company Common Stock,84.75,3321577342.0,357587,Utilities
AVA,Avista Corporation Common Stock,39.55,3268349907.0,1651912,Utilities
CPK,Chesapeake Utilities Corporation Common Stock,133.86,3213277307.0,210446,Utilities
CWT,California Water Service Group Common Stock,49.38,3053614807.0,806773,Utilities
CTRI,Centuri Holdings Inc. Common Stock,27.86,2812039683.0,2611203,Utilities
HTO,H2O America Common Stock,61.08,2556613588.0,477457,Utilities
HE,Hawaiian Electric Industries Inc. Common Stock,12.7,2192472425.0,2771742,Utilities
NWN,Northwest Natural Holding Company Common Stock,48.93,2058991623.0,246108,Utilities
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,16.0,1997028624.0,237886,Utilities
CDZIP,Cadiz Inc. Depositary Shares,22.3001,1875132586.0,5773,Utilities
NEXT,NextDecade Corporation Common Stock,6.6,1756823858.0,2996057,Utilities
XIFR,XPLR Infrastructure LP Common Units representing limited partner interests,11.88,1119960805.0,1124868,Utilities
MSEX,Middlesex Water Company Common Stock,56.85,1071278330.0,170293,Utilities
UTL,UNITIL Corporation Common Stock,53.51,962688297.0,156493,Utilities
NNE,Nano Nuclear Energy Inc. Common Stock,17.58,944013407.0,2603194,Utilities
ADTN,ADTRAN Holdings Inc. Common Stock,8.86,721670816.0,3499828,Utilities
HNRG,Hallador Energy Company Common Stock,14.94,704128056.0,991314,Utilities
NTGR,NETGEAR Inc. Common Stock,24.15,648183657.0,338077,Utilities
SMC,Summit Midstream Corporation Common Stock,31.19,634365706.0,32199,Utilities
FISN,Deep Fission Inc. Common Stock,9.92,584249540.0,198723,Utilities
GFUZ,General Fusion Group Ltd. Common Shares,8.98,570632232.0,290806,Utilities
YORW,York Water Company (The) Common Stock,30.81,499409735.0,116390,Utilities
CLFD,Clearfield Inc. Common Stock,32.11,436357561.0,174680,Utilities
CLNE,Clean Energy Fuels Corp. Common Stock,1.86,409617819.0,1208716,Utilities
