symbol,name,price,marketCap,volume,industry
CUZ,Cousins Properties Incorporated Common Stock,31.4,5168504621.0,2952569,Real Estate
GHC,Graham Holdings Company Common Stock,1213.07,5137264109.0,19007,Real Estate
EPR,EPR Properties Common Stock,61.21,4689232116.0,1041898,Real Estate
SKT,Tanger Inc. Common Stock,40.75,4681190928.0,1400120,Real Estate
KRC,Kilroy Realty Corporation Common Stock,39.0,4536050532.0,932386,Real Estate
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,18.22,4398569585.0,4873,Real Estate
CVSA,Covista Inc. Common Shares,127.49,4338597784.0,284807,Real Estate
CDP,COPT Defense Properties Common Shares of Beneficial Interest,37.54,4256168188.0,949593,Real Estate
REGCP,Regency Centers Corporation 6.25% Series A Cumulative Redeemable Preferred Stock,23.07,4224042945.0,3418,Real Estate
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,17.47,4217508817.0,9859,Real Estate
BNL,Broadstone Net Lease Inc. Common Stock,21.26,4079644563.0,1783704,Real Estate
COLD,Americold Realty Trust Inc. Common Stock,14.11,4025668394.0,3170574,Real Estate
REGCO,Regency Centers Corporation 5.875% Series B Cumulative Redeemable Preferred Stock,21.75,3982355183.0,2644,Real Estate
IRT,Independence Realty Trust Inc. Common Stock,16.76,3951102105.0,3061078,Real Estate
LOPE,Grand Canyon Education Inc. Common Stock,150.88,3932692783.0,408746,Real Estate
APLE,Apple Hospitality REIT Inc. Common Shares,16.56,3909278694.0,3000910,Real Estate
HHH,Howard Hughes Holdings Inc. Common Stock,65.17,3885734465.0,508256,Real Estate
SLG,SL Green Realty Corp Common Stock,54.18,3853524489.0,774192,Real Estate
FRMI,Fermi Inc. Common Stock,6.03,3844572661.0,23422448,Real Estate
NHI,National Health Investors Inc. Common Stock,75.94,3680893739.0,378598,Real Estate
HIW,Highwoods Properties Inc. Common Stock,33.32,3675402951.0,1343642,Real Estate
JOE,St. Joe Company (The) Common Stock,64.0,3643548864.0,238661,Real Estate
LXP,LXP Industrial Trust Common Stock (Maryland REIT),60.43,3562787464.0,744843,Real Estate
LRN,Stride Inc. Common Stock,80.1,3406239684.0,1319473,Real Estate
RWTN,Redwood Trust Inc. 9.125% Senior Notes Due 2029,24.95,3224125427.0,5379,Real Estate
RWTO,Redwood Trust Inc. 9.00% Senior Notes Due 2029,24.67,3187942857.0,11581,Real Estate
DX,Dynex Capital Inc. Common Stock,12.71,3154201515.0,5098966,Real Estate
AKR,Acadia Realty Trust Common Stock,22.35,3069386337.0,1199469,Real Estate
CXW,CoreCivic Inc. Common Stock,30.3,2996320338.0,708930,Real Estate
DBRG,DigitalBridge Group Inc.,15.83,2886954807.0,3334765,Real Estate
FCPT,Four Corners Property Trust Inc. Common Stock,25.3,2776837072.0,796914,Real Estate
MPT,Medical Properties Trust Inc. common stock,4.59,2745279000.0,5472078,Real Estate
DRH,Diamondrock Hospitality Company Common Stock,13.38,2737624012.0,6021479,Real Estate
ARR,ARMOUR Residential REIT Inc.,16.33,2728700509.0,3756774,Real Estate
IVT,InvenTrust Properties Corp. Common Stock,34.88,2718402692.0,848889,Real Estate
MFAO,MFA Financial Inc. 9.000% Senior Notes due 2029,25.09,2575957733.0,14765,Real Estate
MFAN,MFA Financial Inc. 8.875% Senior Notes due 2029,24.95,2561584115.0,16172,Real Estate
BXMT,Blackstone Mortgage Trust Inc. Common Stock,14.57,2455680121.0,2971475,Real Estate
UNIT,Uniti Group Inc. Common Stock,9.64,2339870301.0,3137740,Real Estate
ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,25.14,2277167348.0,2642,Real Estate
UTI,Universal Technical Institute Inc Common Stock,41.32,2275136263.0,646821,Real Estate
ADAMM,Adamas Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.1,2255513811.0,11323,Real Estate
PMTU,PennyMac Mortgage Investment Trust 8.50% Senior Notes due 2028,25.6899,2240219960.0,2259,Real Estate
ADAML,Adamas Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,24.5999,2210574271.0,14816,Real Estate
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,19.39,2188020263.0,2069068,Real Estate
NTST,NetSTREIT Corp. Common Stock,21.39,2171683877.0,913125,Real Estate
ADAMN,Adamas Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,23.96,2153072148.0,2726,Real Estate
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,8.81,2132962018.0,2324077,Real Estate
PRDO,Perdoceo Education Corporation Common Stock,32.57,2042241042.0,596929,Real Estate
CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,24.89,2004409023.0,52633,Real Estate
DEI,Douglas Emmett Inc. Common Stock,11.9,1993074677.0,1406781,Real Estate
LTC,LTC Properties Inc. Common Stock,38.91,1991470453.0,711434,Real Estate
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value,12.34,1874812819.0,2035173,Real Estate
SMA,SmartStop Self Storage REIT Inc. Common Stock,33.62,1861381218.0,730496,Real Estate
STRA,Strategic Education Inc. Common Stock,83.7,1858772688.0,272696,Real Estate
GNL,Global Net Lease Inc. Common Stock,8.65,1833207051.0,1967482,Real Estate
CBL,CBL & Associates Properties Inc. Common Stock,58.46,1809030553.0,341075,Real Estate
NHPAP,National Healthcare Properties Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,23.33,1700870757.0,2211,Real Estate
ADAMZ,Adamas Trust Inc. 7.000% Series G Cumulative Redeemable Preferred Stock $0.01 par value per share,18.7004,1680438664.0,11149,Real Estate
NHPBP,National Healthcare Properties Inc. 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock,22.7268,1656894536.0,970,Real Estate
AAT,American Assets Trust Inc. Common Stock,23.87,1465401642.0,367356,Real Estate
LINC,Lincoln Educational Services Corporation Common Stock,43.15,1368749413.0,326021,Real Estate
ALX,Alexander's Inc. Common Stock,261.77,1336935303.0,85364,Real Estate
UMH,UMH Properties Inc. Common Stock,15.27,1300487798.0,656605,Real Estate
ORC,Orchid Island Capital Inc. Common Stock,6.47,1291434244.0,6791853,Real Estate
PDM,Piedmont Realty Trust Inc. Class A Common Stock,9.88,1236312311.0,1045389,Real Estate
LADR,Ladder Capital Corp Class A Common Stock,9.66,1225518827.0,1126677,Real Estate
SAFE,Safehold Inc. New Common Stock ,16.45,1177984533.0,396784,Real Estate
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,24.85,1176455857.0,552,Real Estate
DEA,Easterly Government Properties Inc. Common Stock,25.29,1174704668.0,506851,Real Estate
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,24.54,1161779748.0,9254,Real Estate
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,24.48,1158939210.0,1144,Real Estate
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,24.4,1155151827.0,4344,Real Estate
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,23.04,1115297119.0,940,Real Estate
NHP,National Healthcare Properties Inc. Class A Common Stock,15.24,1111070310.0,241811,Real Estate
JBGS,JBG SMITH Properties Common Shares ,14.23,1060342559.0,521805,Real Estate
CIM,Chimera Investment Corporation Common Stock,12.62,1055612747.0,657107,Real Estate
SVC,Service Properties Trust Common Shares of Beneficial Interest,7.88,1019998169.0,1330898,Real Estate
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,20.5568,995092874.0,5410,Real Estate
ABR,Arbor Realty Trust Common Stock,5.16,992583807.0,7514380,Real Estate
APEI,American Public Education Inc. Common Stock,53.15,974956387.0,570883,Real Estate
LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,21.6732,934907574.0,19756,Real Estate
CSR,D/B/A Centerspace Common Stock,55.47,932070675.0,145617,Real Estate
MFA,MFA Financial Inc.,9.16,930621485.0,1407005,Real Estate
LANDP,Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock,21.44,924848125.0,24673,Real Estate
ARI,Apollo Commercial Real Estate Finance Inc,6.81,904706471.0,4460460,Real Estate
ESRT,Empire State Realty Trust Inc. Class A Common Stock,4.93,850080921.0,2104354,Real Estate
ADAM,Adamas Trust Inc. Common Stock,9.44,848288860.0,1455995,Real Estate
BFS,Saul Centers Inc. Common Stock,34.32,842066734.0,102032,Real Estate
CTO,CTO Realty Growth Inc. Common Stock,22.07,827303970.0,513271,Real Estate
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest,9.44,823190297.0,1269083,Real Estate
INN,Summit Hotel Properties Inc. Common Stock,6.91,748802689.0,884096,Real Estate
MITN,TPG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,25.2201,743816006.0,3438,Real Estate
MITP,TPG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,25.04,738504319.0,15822,Real Estate
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,7.39,685963958.0,3290164,Real Estate
NXRT,NexPoint Residential Trust Inc. Common Stock,25.91,660483184.0,429729,Real Estate
BRSP,BrightSpire Capital Inc. Class A Common Stock,5.13,649069043.0,2009625,Real Estate
FBRT,Franklin BSP Realty Trust Inc. Common Stock,7.74,642771520.0,1627368,Real Estate
PSTL,Postal Realty Trust Inc. Class A Common Stock,23.16,639768551.0,334001,Real Estate
TRTX,TPG RE Finance Trust Inc. Common Stock,8.06,618758213.0,961722,Real Estate
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,13.15,613858043.0,421908,Real Estate
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,12.47,603635203.0,506845,Real Estate
UHT,Universal Health Realty Income Trust Common Stock,42.62,591377987.0,103655,Real Estate
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,8.75,584026459.0,486449,Real Estate
RWT,Redwood Trust Inc. Common Stock,4.62,578496705.0,1420127,Real Estate
BDN,Brandywine Realty Trust Common Stock,3.14,548171457.0,3218228,Real Estate
OLP,One Liberty Properties Inc. Common Stock,24.34,531085364.0,175833,Real Estate
CHCT,Community Healthcare Trust Incorporated Common Stock,18.26,521720940.0,264791,Real Estate
XRN,Chiron Real Estate Inc. Common Stock,35.27,466792454.0,70099,Real Estate
FVR,FrontView REIT Inc. Common Stock,20.24,458477047.0,115565,Real Estate
KREF,KKR Real Estate Finance Trust Inc. Common Stock,7.23,423518564.0,930924,Real Estate
FPI,Farmland Partners Inc. Common Stock,9.57,417546010.0,550075,Real Estate
AIV,Apartment Investment and Management Company Common Stock,2.69,386973132.0,606409,Real Estate
PINE,Alpine Income Property Trust Inc. Common Stock,20.29,357524246.0,156281,Real Estate
TCI,Transcontinental Realty Investors Inc. Common Stock,41.29,356717358.0,128338,Real Estate
LAND,Gladstone Land Corporation Common Stock,8.06,347680778.0,750916,Real Estate
NREF,NexPoint Real Estate Finance Inc. Common Stock,17.33,323845415.0,69056,Real Estate
BRT,BRT Apartments Corp. (MD) Common Stock,14.99,282146577.0,78903,Real Estate
ARL,American Realty Investors Inc. Common Stock,15.66,252940993.0,12062,Real Estate
RC,Ready Capital Corporation Common Stock,1.53,252823429.0,1209856,Real Estate
NXDT,NexPoint Diversified Real Estate Trust Common Stock,4.71,243618994.0,297341,Real Estate
ACRE,Ares Commercial Real Estate Corporation Common Stock,4.25,235794730.0,1201511,Real Estate
MITT,TPG Mortgage Investment Trust Inc. Common Stock,7.13,226758777.0,160927,Real Estate
REFI,Chicago Atlantic Real Estate Finance Inc. Common Stock,9.9,209951557.0,218191,Real Estate
STRW,Strawberry Fields REIT Inc. Common Stock,14.0,187972540.0,72787,Real Estate
NLOP,Net Lease Office Properties Common Shares of Beneficial Interest,12.03,178213322.0,127416,Real Estate
MDV,Modiv Industrial Inc. Class C Common Stock,17.11,176637994.0,37259,Real Estate
SITC,SITE Centers Corp. Common Stock,3.31,173691833.0,1208099,Real Estate
SEVN,Seven Hills Realty Trust Common Stock,7.62,172643338.0,136436,Real Estate
EARN,Ellington Credit Company Common Shares of Beneficial Interest,4.36,163758090.0,571948,Real Estate
NRDY,Nerdy Inc. Class A Common Stock,0.8488,161927557.0,161566,Real Estate
STRS,Stratus Properties Inc. Common Stock,19.68,157099989.0,100642,Real Estate
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,56.13,156530461.0,117,Real Estate
ONL,Orion Properties Inc. Common Stock,2.73,155146086.0,374478,Real Estate
BHR,Braemar Hotels & Resorts Inc. Common Stock,2.16,148347327.0,197012,Real Estate
ELME,Elme Communities Common Stock,1.64,145726928.0,739852,Real Estate
AXR,AMREP Corporation Common Stock,22.55,120075345.0,10926,Real Estate
CHGG,Chegg Inc. Common Stock,1.02,114198015.0,965100,Real Estate
ACR,ACRES Commercial Realty Corp. Common Stock,15.85,113027951.0,66805,Real Estate
STHO,Star Holdings Shares of Beneficial Interest,9.24,111631517.0,8811,Real Estate
SUNS,Sunrise Realty Trust Inc. Common Stock,7.78,105171635.0,72894,Real Estate
RPT,Rithm Property Trust Inc. Common stock,12.24,95136183.0,70653,Real Estate
IOR,Income Opportunity Realty Investors Inc. Common Stock,21.2961,86593733.0,73,Real Estate
MAYS,J. W. Mays Inc. Common Stock,38.72,78051002.0,111,Real Estate
GPMT,Granite Point Mortgage Trust Inc. Common Stock,1.45,69483456.0,89944,Real Estate
IH,iHuman Inc. American depositary shares each representing five Class A ordinary shares,1.35,69002364.0,1540,Real Estate
INTG,Intergroup Corporation (The) Common Stock,30.32,65151980.0,211629,Real Estate
SELF,Global Self Storage Inc. Common Stock,5.16,58936137.0,60886,Real Estate
FSP,Franklin Street Properties Corp. Common Stock,0.4625,48105415.0,94003,Real Estate
LOAN,Manhattan Bridge Capital Inc,4.19,47872883.0,22671,Real Estate
CLPR,Clipper Realty Inc. Common Stock,2.75,44433307.0,37224,Real Estate
SACH,Sachem Capital Corp. Common Shares,0.861,41289812.0,222096,Real Estate
LFT,Lument Finance Trust Inc. Common Stock,0.685,35921032.0,388421,Real Estate
WHLRD,Wheeler Real Estate Investment Trust Inc. Series D Cumulative Preferred Stock,36.98,34362445.0,1020,Real Estate
AHT,Ashford Hospitality Trust Inc Common Stock,3.25,21048596.0,19937,Real Estate
MDRR,Medalist Diversified Inc. Common Stock,11.735,19110448.0,1580,Real Estate
GYRO,Gyrodyne LLC Common Stock,5.5,12096194.0,226,Real Estate
CMCT,Creative Media & Community Trust Corporation Common stock,4.0,11035340.0,92382,Real Estate
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,9.82,9124911.0,66,Real Estate
SQFTP,Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,5.85,8406626.0,1980,Real Estate
KIDZ,KIDZ AI Inc. Class B Common Stock,0.56,6156693.0,34026078,Real Estate
EEIQ,EpicQuest Education Group International Limited Common Stock,2.13,3507307.0,9248,Real Estate
SQFT,Presidio Property Trust Inc. Class A Common Stock,2.21,3175836.0,2047,Real Estate
PW,Power REIT (MD) Common Stock,7.64,2805614.0,4532,Real Estate
MKZR,MacKenzie Realty Capital Inc. Common Stock,1.25,2458000.0,2082577,Real Estate
BOXL,Boxlight Corporation Class A Common Stock,3.14,2094226.0,59811,Real Estate
GIPR,Generation Income Properties Inc. Common Stock,0.71,731585.0,125852,Real Estate
WHLR,Wheeler Real Estate Investment Trust Inc. Common Stock,0.5194,482635.0,3714701,Real Estate
KIDZW,KIDZ AI Inc. Warrants,0.0159,174806.0,2123,Real Estate
