symbol,name,price,marketCap,volume,industry
ALGN,Align Technology Inc. Common Stock,152.185,10811199877.0,108242,Health Care
GKOS,Glaukos Corporation Common Stock,182.87,10786392559.0,66685,Health Care
CYTK,Cytokinetics Incorporated Common Stock,74.15,10308586445.0,182339,Health Care
KRYS,Krystal Biotech Inc. Common Stock,347.465,10284559551.0,19451,Health Care
GMED,Globus Medical Inc. Class A Common Stock,75.49,10135431888.0,134473,Health Care
UHS,Universal Health Services Inc. Common Stock,171.09,10083448351.0,34594,Health Care
KYMR,Kymera Therapeutics Inc. Common Stock,120.305,10003435098.0,148193,Health Care
MOH,Molina Healthcare Inc Common Stock,189.94,9914868000.0,86454,Health Care
PRAX,Praxis Precision Medicines Inc. Common Stock,354.52,9898194146.0,55431,Health Care
HSIC,Henry Schein Inc. Common Stock,88.4,9851874313.0,63332,Health Care
ENSG,The Ensign Group Inc. Common Stock,168.5,9820590129.0,59945,Health Care
PODD,Insulet Corporation Common Stock,140.355,9734208601.0,130122,Health Care
PTGX,Protagonist Therapeutics Inc. Common Stock,148.14,9585885340.0,98005,Health Care
OSCR,Oscar Health Inc. Class A Common Stock,30.515,9418302175.0,869926,Health Care
IONS,Ionis Pharmaceuticals Inc. Common Stock,55.93,9294689129.0,465641,Health Care
PCVX,Vaxcyte Inc. Common Stock,59.7,8883675097.0,144287,Health Care
IBRX,ImmunityBio Inc. Common Stock,8.1262,8612441522.0,1617281,Health Care
TGTX,TG Therapeutics Inc. Common Stock,55.43,8484617608.0,182803,Health Care
TWST,Twist Bioscience Corporation Common Stock,127.32,8441465474.0,184574,Health Care
RGEN,Repligen Corporation Common Stock,167.49,8194169044.0,80844,Health Care
IMVT,Immunovant Inc. Common Stock,39.4,8138175671.0,74549,Health Care
SYRE,Spyre Therapeutics Inc. Common Stock,88.245,7780893628.0,137399,Health Care
BLTE,Belite Bio Inc American Depositary Shares,190.48,7671037989.0,42848,Health Care
MSA,MSA Safety Incorporated Common Stock,187.05,7216068957.0,17457,Health Care
